id,car_id,make,model,year_of_manufacture,color,condition,mileage,engine_size,registered_city,selling_condition,bought_condition,city,price,body_type,fuel_type,transmission
14,jEY4wdZoh1Sy3HSkGWuBhM6H6bcm80H,Toyota,Sienna,2013,White,Nigerian Used,528988.0,3500.0,LAGOS,Registered,Imported,Amuwo-Odofin,14062500,,Petrol,Automatic
15,jEY4wdZPNayBcINXhI7NSLSIlVfnCsq,Toyota,Camry,2013,Black,Nigerian Used,111866.0,2500.0,,Registered,Imported,Lekki,10687500,,Petrol,Automatic
16,jEY4wdZQ7VSO8vvQYOxt8m1UzK4ZJ3y,Lexus,ES,2006,Silver,Nigerian Used,315869.0,3300.0,EDO,Registered,Imported,Benin City,7312500,,Petrol,Automatic
17,jEY4wdZZGDCpERBcjxrAou7SkV7PjET,Toyota,Camry,2009,Green,Nigerian Used,61460.0,2400.0,Lagos,Registered,Imported,Alimosho,5625000,,Petrol,Automatic
18,jEY4wdZPPjctBjp22CLw0j8pNVfuFnP,Lexus,RX 330,2006,Silver,Foreign Used,102558.0,3300.0,,Imported,Imported,Amuwo-Odofin,14625000,SUV,Petrol,Automatic
19,jEY4wdZvnsnScKX2XHdzxMlnD4ck0uc,Land Rover,Lr3,2006,Gray,Nigerian Used,192293.0,4400.0,Lagos,Registered,Imported,Amuwo-Odofin,5062500,SUV,Petrol,Automatic
20,jEY4wdZv1lD5P2tVM4fYYTPX28Yf7a4,Peugeot,3008,2020,Gray,Nigerian Used,20156.0,1600.0,ABUJA,Registered,Brand new,Jabi,30375000,SUV,Petrol,Automatic
21,jEY4wdZQjWvEYqmGPslUREQIjqoO3WS,Honda,Crosstour,2010,Green,Nigerian Used,193865.0,3500.0,LAGOS,Registered,Imported,Ikorodu,8100000,SUV,Petrol,Automatic
22,jEY4wdZyIicKk93B9hwOkq8gYTsWTNq,Lexus,ES,2010,Black,Nigerian Used,113365.0,3500.0,LAGOS,Registered,Registered,Alimosho,10687500,,Petrol,Automatic
23,jEY4wdZOES1b4dHWS8h3YZDgYPzeGsN,Honda,Accord,2008,Black,Nigerian Used,159229.0,2400.0,,Registered,Registered,Gwarinpa,5287500,,Petrol,Automatic
24,jEY4wdZF9Zugk6TcVrwFOyVoEN4yZ7e,Hyundai,Santa Fe,2010,Black,Nigerian Used,120917.0,3500.0,LAGOS,Registered,Registered,Ilupeju,112500000,SUV,Petrol,Automatic
25,jEY4wdZt6h8aAhOLzyEpBtYdmuaQNnX,Honda,CR-V,1998,Green,Nigerian Used,420411.0,2500.0,,Registered,Registered,Ibadan,1800000,SUV,Petrol,Automatic
26,jEY4wdZkJoLUBW4nwL5HcfHme703lZD,Honda,Odyssey,2009,Gray,Nigerian Used,316916.0,3500.0,LAGOS,Registered,Imported,Yaba,5625000,,Petrol,Automatic
27,jEY4wdZnjq9VtvXoJ57nA7ClXqXqhO4,Honda,Accord Crosstour,2010,Black,Nigerian Used,192813.0,3500.0,ABUJA,Registered,Registered,Ogba,6750000,SUV,Petrol,Automatic
28,jEY4wdZUlJfI3fABWk4zsDWwuJKteOX,Toyota,Camry,2010,Gray,Nigerian Used,116225.0,3500.0,LAGOS,Registered,Imported,Abule Egba,10125000,,Petrol,Automatic
29,jEY4wdZE5b8cD3HPpa1ruI3AS30RIle,Toyota,Camry,2001,Gold,Nigerian Used,331142.0,2200.0,Lagos,Registered,Imported,Ikotun/Igando,2812500,,Petrol,Manual
30,jEY4wdZEcUYGqrj1L61glTH1lj8qVqp,Mazda,CX-9,2013,White,Foreign Used,113817.0,3700.0,,Imported,Imported,Gwarinpa,10996875,SUV,Petrol,Automatic
31,jEY4wdZXb32WY27Tgw9vB9IYpTxAd75,Mercedes-Benz,GLE-Class,2016,Gray,Nigerian Used,139224.0,3500.0,LAGOS,Registered,Imported,Lekki,42750000,SUV,Petrol,Automatic
32,jEY4wdZTSx1oCSgBidEiTVtijmqYJKI,Lexus,RX 350,2011,Silver,Nigerian Used,131420.0,3500.0,Lagos,Registered,Imported,Alimosho,18000000,SUV,Petrol,Automatic
33,jEY4wdZjCiBv1InC7K7ExHPp5bTdYM7,Toyota,Corolla,2003,Black,Nigerian Used,2999999.0,1800.0,Abuja,Registered,Registered,Kubwa,4275000,,Petrol,Automatic
34,jEY4wdZAiaXLAdU175Fu8LLL4EBFW2y,Toyota,Camry,2007,Gray,Nigerian Used,161283.0,3500.0,LAGOS,Registered,Imported,Surulere,7087500,,Petrol,Automatic
35,jEY4wdZbYdUEIJ6aIec3mZOCCCTFXA9,Toyota,Matrix,2006,Gray,Nigerian Used,167499.0,1800.0,AKWA IBOM,Registered,Registered,Uyo,5625000,Hatchback,Petrol,Automatic
36,jEY4we00BRK9FwYIKsloAfrBbdnvjbp,Toyota,Corolla,2005,Silver,Nigerian Used,247440.0,1800.0,,Registered,Registered,Port-Harcourt,3037500,,Petrol,Automatic
37,jEY4wdZuF7TzTzZmKj0LiRYlc9hJkwO,Mercedes-Benz,G-Class,2016,Red,Nigerian Used,63090.0,4000.0,LAGOS,Registered,Imported,Lekki,61875000,SUV,Petrol,Automatic
38,jEY4wdZfQIAW0doMNQnORjBabTNql1R,Toyota,Camry,2007,Blue,Nigerian Used,184623.0,2400.0,LAGOS,Registered,Registered,Ibadan,4612500,,Petrol,Automatic
39,jEY4wdZEFJTEjteHqUNj2PffIsVgJhU,Lexus,RX 450h,2016,Red,Foreign Used,317535.0,3500.0,,Imported,Imported,Magodo,61875000,SUV,Hybrid,Automatic
40,jEY4wdZS7IYlRpn2JhoeEptNYdJWC2Q,Hyundai,Accent,2012,Black,Nigerian Used,112752.0,1400.0,,Registered,Brand new,Kosofe,5625000,,Petrol,Automatic
41,jEY4wdZMz2zb7vX1aRaMUq2PcFHlOXy,Honda,Accord,2008,Silver,Nigerian Used,168010.0,2400.0,ABUJA,Registered,Registered,Benin City,4725000,,Petrol,Automatic
42,jEY4wdZFEO49sNgZAErE5St5dfVDhAs,Toyota,Yaris,2008,Black,Nigerian Used,129402.0,,Lagos,Registered,Registered,Ikeja,4837500,,Petrol,Automatic
43,jEY4wdZh2K8nmDpDbXQepjejPO6YFSN,Land Rover,Range Rover Sport,2009,Black,Nigerian Used,208792.0,4400.0,OGUN,Registered,Registered,Abeokuta North,10125000,SUV,Petrol,Automatic
44,jEY4wdZv3PAyMSXzV0B239AfwC8EVbe,Honda,Accord,2009,Blue,Nigerian Used,185203.0,,,Registered,Registered,Karu,3712500,,Petrol,Automatic
45,jEY4wdZ9V2KOvdW3qGzWrhqgQlNDRZL,Toyota,Camry,2009,Gold,Nigerian Used,140015.0,3500.0,LAGOS,Registered,Imported,Amuwo-Odofin,7875000,,Petrol,Automatic
46,jEY4wdZuAfLWVg8NbuHUanLEETRCYE8,Toyota,Avalon,2015,Gray,Nigerian Used,94178.0,3500.0,LAGOS,Registered,Imported,Yaba,19125000,,Petrol,Automatic
47,jEY4wdZSLx5kcLEm4TZCTLzGfSx6pnw,BMW,325i,2006,Black,Nigerian Used,302292.0,3000.0,Abuja,Registered,Registered,Lugbe District,3937500,,Petrol,Automatic
48,jEY4wdZ9rz227FWL5PvmIFVWnLfAa6Z,Toyota,Corolla,2006,Blue,Nigerian Used,134963.0,1800.0,OGUN,Registered,Registered,Abule Egba,4095000,,Petrol,Automatic
49,jEY4wdZZb5BlEyDzjeXNBd508pTwcAl,Lexus,RX,1999,Gold,Nigerian Used,236693.0,3300.0,,Registered,Registered,Gudu,45000000,,Petrol,Automatic
50,jEY4wdZa0thNXLokAyP9tjLgSGBCyHl,Toyota,Highlander,2003,Silver,Nigerian Used,306135.0,3500.0,,Registered,Registered,Ibadan,4500000,SUV,Petrol,Automatic
51,jEY4wdZOSwjOhJqgtPMkSPh4WI5C15b,Toyota,Sienna,2001,Green,Nigerian Used,193669.0,3000.0,LAGOS,Registered,Registered,Abule Egba,3375000,,Petrol,Automatic
52,jEY4wdZdiSnDRGidmYNGYXNWK8kv1gN,Volvo,XC90,2005,Silver,Nigerian Used,228260.0,2400.0,LAGOS,Registered,Imported,Uyo,4500000,SUV,Petrol,Automatic
53,jEY4wdZcPkLyPo5HYG0ZAY4fYhWvwno,Toyota,Highlander,2008,Green,Foreign Used,114193.0,3500.0,,Imported,Imported,Ojodu,15975000,SUV,Petrol,Automatic
54,jEY4wdZgyOiKh3MhZ68eIhHN05h6aGW,Honda,Pilot,2009,Brown,Foreign Used,217893.0,3500.0,,Imported,Imported,Abeokuta North,5625000,SUV,Petrol,Automatic
55,jEY4wdZnNwGMj17ZWJQAZPKM22fChSZ,Toyota,Land Cruiser Prado,2020,Black,Nigerian Used,42578.0,4000.0,LAGOS,Registered,Brand new,Ogba,90000000,SUV,Petrol,Automatic
56,jEY4wdZFwrCGPujgassSAlyANkO3Hkq,Lexus,RX 350,2007,Black,Nigerian Used,264329.0,3500.0,Lagos,Registered,Imported,Lekki,10125000,SUV,Petrol,Automatic
57,jEY4wdZ9nZtYp75uFIfu9KgTnyryizJ,Hyundai,Sonata,2003,White,Nigerian Used,259419.0,2700.0,,Registered,Registered,Yaba,2812500,,Petrol,Automatic
58,jEY4wdZQq48vxK0s4YwJNFvhYjq5jh1,Toyota,Corolla,2010,White,Nigerian Used,418655.0,1800.0,ABUJA,Registered,Imported,Gwagwalada,7312500,,Petrol,Automatic
59,jEY4wdZDQKPW4tk4q7XGTMapx7zDNCv,Dongfeng,Rich 6,2023,Blue,Nigerian Used,3208.0,,ABUJA,Registered,Imported,Jabi,39375000,,Electric,Automatic
60,jEY4wdZxkhwI7FqQ7FiIgD1vE2eL874,Toyota,Camry,2002,Gold,Nigerian Used,358302.0,2400.0,LAGOS,Registered,Registered,Lekki,2925000,,Petrol,Automatic
61,jEY4wdZQNuUWUApZT6bBLVirCequS05,Mazda,CX-9,2008,Silver,Nigerian Used,98002.0,3700.0,Lagos,Registered,Imported,Ajah,6750000,SUV,Petrol,Automatic
62,jEY4wdZWe9NTcHyOHp2YaxnmLj0AopV,Toyota,4-Runner,2005,Silver,Nigerian Used,198135.0,3500.0,LAGOS,Registered,Imported,Uyo,6750000,SUV,Petrol,Automatic
63,jEY4wdZjTNpObKAY1COYZzfgxp3PXyS,Toyota,Camry,2005,Gray,Nigerian Used,199826.0,2400.0,Abuja,Registered,Registered,Lugbe District,4500000,Sedan,Petrol,Automatic
64,jEY4wdZAO4SevAYJPqxZxq5xFtNAFl2,Toyota,Camry,2008,Blue,Nigerian Used,116037.0,2400.0,DELTA,Registered,Registered,Benin City,6187500,,Petrol,Automatic
65,jEY4wdZkGgPQ9X1JrqNvtQqoBJvBhQm,Mercedes-Benz,M Class,2002,Gray,Nigerian Used,262827.0,5000.0,Lagos,Registered,Imported,Ikotun/Igando,4500000,SUV,Petrol,Automatic
66,jEY4wdZIM55Yjiv7XraO7Z3lk15Z9Of,Toyota,Corolla,2004,Silver,Nigerian Used,332348.0,1800.0,,Registered,Registered,Ikeja,5062500,,Petrol,Automatic
67,jEY4wdZT48Xuoa8erbekedrEiZ2NumY,Honda,Accord,2012,Gray,Nigerian Used,118425.0,2400.0,LAGOS,Registered,Registered,Abule Egba,5062500,,Petrol,Automatic
68,jEY4wdZh940UlNSwfUqUTHRTkI2BWSs,Acura,MDX,2013,Gray,Foreign Used,97523.0,,,Imported,Imported,Ikeja,16875000,SUV,Petrol,Automatic
69,jEY4wdZmPjaEfuTWs8xzDY7PIrpzKEW,Toyota,Sienna,2015,Black,Foreign Used,71403.0,3600.0,,Imported,Imported,Ikeja,17662500,Van,Petrol,Automatic
70,jEY4wdZkaodBeBIjM7jG5E7uIsDZjyH,Kia,Sportage,2013,Brown,Nigerian Used,103525.0,2400.0,,Registered,Brand new,Kosofe,6525000,,Petrol,Automatic
71,jEY4wdZxxH6QAkVBdTbsEwOHd4rntEK,Toyota,Camry,2003,Green,Nigerian Used,191084.0,3000.0,Lagos,Registered,Registered,Alimosho,4837500,,Petrol,Automatic
72,jEY4wdZrvm5Lg8yk6iLKSCwViSwPzhs,Toyota,Matrix,2004,Silver,Nigerian Used,286162.0,2000.0,,Registered,Registered,Gudu,6525000,,Petrol,Automatic
73,jEY4wdZTHj59AC1cAK89CjGBFJEeImF,Lexus,GS,2002,Silver,Nigerian Used,138987.0,3000.0,LAGOS,Registered,Registered,Ibadan,2812500,,Petrol,Automatic
74,jEY4wdZopvIt8hvYjjW9gQi4KqPUqP2,Toyota,Sienna,2012,Black,Nigerian Used,204889.0,3500.0,Lagos,Registered,Imported,Ibadan,8437500,,Petrol,Automatic
75,jEY4wdZj7C7VmxhccNjoorF04QnGDBq,Mercedes-Benz,C300,2010,Black,Nigerian Used,178009.0,3000.0,Lagos,Registered,Registered,Akure,6750000,,Petrol,Automatic
76,jEY4wdZrVeD4C12zDPK3aWlNagxp6Vy,Ford,Edge,2007,Gray,Nigerian Used,309054.0,3500.0,LAGOS,Registered,Registered,Abule Egba,4500000,SUV,Petrol,Automatic
77,jEY4wdZmu6hRlSwDov1WGzjsTPfcIAt,Honda,Accord,2008,Red,Nigerian Used,268069.0,2400.0,LAGOS,Registered,Imported,Lekki,6750000,,Petrol,Automatic
78,jEY4wdZBjDT8VFhxzrFn80Aswlvxu0y,Chrysler,Town&Country,2004,Green,Nigerian Used,176365.0,3300.0,LAGOS,Registered,Registered,Ibadan,3150000,,Petrol,Automatic
79,jEY4wdZHn9UKpXmAX2nNnOncCS7Rq9o,Toyota,Venza,2010,Green,Nigerian Used,180240.0,2700.0,,Registered,Imported,Port-Harcourt,11250000,SUV,Petrol,Automatic
80,jEY4wdZU8plcznWZ6zFJEX2PEuw9pL7,Hyundai,Accent,2011,Gray,Nigerian Used,163223.0,1400.0,LAGOS,Registered,Registered,Abeokuta North,4837500,,Petrol,Automatic
81,jEY4wdZSTHVwvoMe18BgdYxCGJaD5Bt,Toyota,Camry,2005,Red,Nigerian Used,198523.0,2400.0,,Registered,Registered,Karu,3712500,,Petrol,Automatic
82,jEY4wdZr6WSdAdBHDaYp7nVUUqzUYzs,Nissan,Micra,1994,Green,Nigerian Used,1207080.0,1000.0,OGUN,Registered,Registered,Abeokuta North,1800000,,Petrol,Manual
83,jEY4wdZBa0XC8rOpa45OsNfszm3nrmK,Toyota,Corolla,2009,Green,Nigerian Used,306429.0,1800.0,Abuja,Registered,Registered,Lugbe District,7875000,,Petrol,Automatic
84,jEY4wdZBqxdcfukUn0wONQFvFhk95sR,Peugeot,308,2008,Gray,Nigerian Used,214523.0,1600.0,,Registered,Registered,Karu,3262500,,Petrol,Automatic
85,jEY4wdZJ4myMVN9EG3YOIPP4jTpiOUy,Toyota,Corolla,2004,Gray,Nigerian Used,243789.0,1800.0,LAGOS,Registered,Registered,Uyo,5850000,Sedan,Petrol,Automatic
86,jEY4wdZxgEAGorlQRaLUtZQSsYpY7Yb,Toyota,Corolla,2013,Black,Nigerian Used,95793.0,1800.0,LAGOS,Registered,Registered,Yaba,13500000,,Petrol,Automatic
87,jEY4wdZrJFTqs1cxvSb7gSRJdPyUBeO,Mazda,CX-9,2011,Black,Nigerian Used,224106.0,3700.0,LAGOS,Registered,Imported,Ibadan,9562500,SUV,Petrol,Automatic
88,jEY4wdZCjAP1QlI4QiqaFvgWuhRRVNp,Lexus,RX,2017,White,Nigerian Used,103168.0,3500.0,LAGOS,Registered,Imported,Ilupeju,36750000,SUV,Petrol,Automatic
89,jEY4wdZiY2kVb2RfokVwG8sikn4bJ96,Toyota,Corolla,2007,Gold,Nigerian Used,2999999.0,1800.0,Abuja,Registered,Registered,Kubwa,5850000,,Petrol,Automatic
90,jEY4wdZTcWp1katb3nybUpPlF85aodg,Land Rover,Range Rover Sport,2011,White,Nigerian Used,152019.0,5000.0,Abuja,Registered,Imported,Wuse,12600000,SUV,Petrol,Automatic
91,jEY4wdZEEDiiV4qvewXhphHmlk3r0pH,Toyota,Corolla,2011,Gray,Nigerian Used,115608.0,1800.0,Lagos,Registered,Registered,Ibadan,8320000,,Petrol,Automatic
92,jEY4wdZgFsAn9oaK5wE0x0vN591HoKD,Mercedes-Benz,M Class,2014,Black,Nigerian Used,39232.0,3500.0,Lagos,Registered,Imported,Benin City,19425000,SUV,Petrol,Automatic
93,jEY4wdZSyy0pVVncgGdHxjuuNURykGi,Daihatsu,Sirion,1999,Gold,Nigerian Used,190175.0,1200.0,Gombe,Registered,Imported,Ibadan,1125000,,Petrol,Manual
94,jEY4wdZm5QVU7oDBUxWvbcuAPYbtPFJ,Toyota,Yaris,2010,Silver,Nigerian Used,188921.0,1500.0,Lagos,Registered,Registered,Wuse,4200000,,Petrol,Automatic
95,jEY4wdZiWRTFnXvCqWBQnUJtnQHCzGj,Honda,Accord,2009,Burgandy,Nigerian Used,337225.0,2400.0,Kano,Registered,Imported,Lugbe District,6300000,Sedan,Petrol,Automatic
96,jEY4wdZPsYuHqLXBWb6vrK8lY4lz5m8,Toyota,Hilux,2014,White,Nigerian Used,130090.0,2700.0,LAGOS,Registered,Registered,Abule Egba,20250000,,Petrol,Automatic
97,jEY4wdZupUdAIjPgAaloxgxWiSdBPA0,Chrysler,Pacifica,2007,Silver,Nigerian Used,299475.0,4000.0,LAGOS,Registered,Registered,Yaba,4200000,SUV,Petrol,Automatic
98,jEY4wdZAtfSSJZX2bRCSG0LXkxbrvQZ,Lexus,GX,2016,Black,Nigerian Used,74901.0,4600.0,LAGOS,Registered,Imported,Amuwo-Odofin,71400000,SUV,Petrol,Automatic
99,jEY4wdZmDQgjRchGLqQGRWd5OposEq9,Toyota,Corolla,2004,Black,Nigerian Used,245852.0,1800.0,LAGOS,Registered,Registered,Yaba,3150000,,Petrol,Manual
100,jEY4wdZtG6Xh8gmhaB024SZwCpaqYyq,Toyota,Highlander,2008,Black,Nigerian Used,125768.0,3500.0,,Registered,Registered,Port-Harcourt,12375000,SUV,Petrol,Automatic
101,jlCs49PvY2wbeUpfyZf5w48E51og33,Toyota,Highlander,2007,Silver,Nigerian Used,210013.0,3000.0,,Registered,Imported,Isolo,6300000,SUV,Petrol,Automatic
102,jlCs49PM3PS6QnBrky19636yvMYkdi,Nissan,Almera,2002,Blue,Nigerian Used,394964.0,1600.0,Abuja,Registered,Imported,Ibadan,1995000,Hatchback,Petrol,Automatic
103,jEY4wdZEXq18gWeZcGoBOzrHRZrDinu,Toyota,Sienna,2006,Blue,Nigerian Used,152332.0,3500.0,,Registered,Registered,Port-Harcourt,6032000,,Petrol,Automatic
104,jEY4wdZQaMFY9z26PwQyJY67CYwTZon,Toyota,Highlander,2005,Green,Nigerian Used,235366.0,2400.0,ENUGU,Registered,Registered,Enugu,6975000,SUV,Petrol,Automatic
105,jEY4wdZE0koIrtsULsDxjGraCTyj0v0,Ford,Edge,2007,Black,Nigerian Used,190932.0,3500.0,Rivers,Registered,Registered,Port-Harcourt,3937500,SUV,Petrol,Automatic
106,jEY4wdZfAQ4hOoOKgtJ7vygEPUqe2zB,Ford,Ecosport,2013,Black,Nigerian Used,65505.0,1500.0,LAGOS,Registered,Registered,Yaba,4725000,SUV,Petrol,Automatic
107,jEY4wdZtgl1KdD8IpjTIJAsbylHLX7u,Acura,MDX,2004,White,Nigerian Used,155090.0,3500.0,LAGOS,Registered,Registered,Ibadan,3675000,SUV,Petrol,Automatic
108,jEY4wdZkpgGYnbzoidD9iqNx33MkNeS,Toyota,4-Runner,1998,Black,Nigerian Used,208269.0,2700.0,Lagos,Registered,Imported,Alimosho,2475000,SUV,Petrol,Automatic
109,jEY4wdZRUW39MgXqSzdqdxZPyNbvcLJ,Toyota,Sienna,2006,Gray,Nigerian Used,155439.0,3300.0,,Registered,Registered,Asokoro,6760000,,Petrol,Automatic
110,jEY4wdZyc0xnStpwAmT3Tka28yraxvz,Honda,Accord,2013,Black,Nigerian Used,205330.0,2400.0,,Registered,Imported,Gudu,12600000,,Petrol,Automatic
111,jlCs49PSVWskcprLwjclWysjkoqmS6,BMW,5 Series,2004,Gray,Nigerian Used,415792.0,3000.0,,Registered,Registered,Karu,3570000,,Petrol,Automatic
112,jlCs49Pm9cSbr2Bgu7nDTlA4xDaSrj,Honda,Civic,2010,Blue,Nigerian Used,2185422.0,1800.0,,Registered,Registered,Karu,3990000,,Petrol,Automatic
113,jEY4wdZqsTTHAHF5iiG5gsi8lXSL4Ok,Nissan,X-Trail,2008,Silver,Nigerian Used,109776.0,2500.0,,Registered,Registered,Ikoyi,4725000,SUV,Petrol,Automatic
114,jEY4wdZtATjupHZMgFqadwrz0UnEIpY,Toyota,RAV4,2006,Black,Nigerian Used,158669.0,3500.0,Lagos,Registered,Registered,Ibadan,7875000,SUV,Petrol,Automatic
115,jEY4wdZrALX5OmULq1OyOzwtawjZfLu,Lexus,RX 350,2023,Black,Foreign Used,35.0,35.0,,Imported,Brand new,Ikoyi,134400000,SUV,Petrol,Automatic
116,jEY4wdZXffZp94YKGEv775trEeRzlsJ,Toyota,Sienna,2001,Brown,Nigerian Used,271360.0,3000.0,LAGOS,Registered,Registered,Alimosho,2625000,,Petrol,Automatic
117,jEY4wdZFO3Sb6nRtzysCsf8IeLiiJV1,Toyota,Highlander,2013,Black,Nigerian Used,383005.0,3500.0,,Registered,Imported,Lekki,11550000,,Petrol,Automatic
118,jEY4wdZE5ITbPUoyCAGAGEr2XqiwCHa,Honda,Accord,2007,Black,Nigerian Used,349810.0,2400.0,,Registered,Registered,Gwarinpa,4725000,,Petrol,Automatic
119,jEY4wdZ9xt9yHTzw7FvoTpKn9y8dtrc,Honda,Accord,2009,Gray,Nigerian Used,149984.0,3500.0,Lagos,Registered,Registered,Owerri,3375000,,Petrol,Automatic
120,jEY4wdZbWw4st858FlN20TH7Gs8Bg0Q,Toyota,Sienna,2008,Green,Nigerian Used,138793.0,3500.0,AKWA IBOM,Registered,Registered,Uyo,6300000,Minivan,Petrol,Automatic
121,jEY4wdZiTpNJnTHPTII6FAG22fATnW0,Toyota,Tacoma,2012,Silver,Nigerian Used,87744.0,4000.0,ABUJA,Registered,Imported,Ibadan,12937500,Pick-up Double Cabin,Petrol,Automatic
122,jEY4wdZooAcAXXFqHrvQvFSHFCzLGYW,Toyota,RAV4,2008,Black,Nigerian Used,239727.0,2000.0,LAGOS,Registered,Registered,Magodo,6615000,SUV,Petrol,Automatic
123,jEY4wdZtR5ePh1y4ISiEHyhrH0cHpof,Ford,Edge,2008,White,Nigerian Used,155242.0,3500.0,,Registered,Registered,Gudu,4200000,,Petrol,Automatic
124,jEY4wdZrVIcTr4Cxoh5TwNwFZlwZHV2,Jeep,Liberty,2008,White,Nigerian Used,200402.0,3700.0,ABUJA,Registered,Imported,Jabi,5775000,SUV,Petrol,Automatic
125,jEY4wdZhgSAbJnuc3OBqigy9P5fdoSY,Hyundai,Elantra,2013,Gray,Foreign Used,250237.0,1600.0,,Imported,Imported,Ilupeju,11025000,,Petrol,Automatic
126,jEY4wdZJcw9OJj51bTxyzRb4JvSEuMC,Toyota,Corolla,2007,Red,Nigerian Used,389777.0,1800.0,Lagos,Registered,Registered,Akure,4200000,,Petrol,Automatic
127,jEY4wdZyR0yRIAbCzqzxVxTT7Z2IpjD,Hyundai,Elantra,2013,Gray,Foreign Used,199524.0,1800.0,,Imported,Imported,Ilupeju,11250000,,Petrol,Automatic
128,jEY4wdZVLjMwzmM8O7O39O83VBQhfvO,Toyota,Camry,2009,Black,Nigerian Used,184451.0,2400.0,Ogun state,Registered,Registered,Surulere,4147500,,Petrol,Automatic
129,jEY4wdZ9tk9cHDMSTk3BuJ2vZaltSSb,Lexus,ES,2007,Gray,Nigerian Used,263841.0,3500.0,,Registered,Registered,Port-Harcourt,6720000,,Petrol,Automatic
130,jEY4wdZLQ0CfZI7inTH9JQRuBIHCr4N,Lexus,RX 350,2010,Gray,Nigerian Used,142302.0,3500.0,LAGOS,Registered,Registered,Ojodu,16640000,SUV,Petrol,Automatic
131,jEY4wdZgkYlr8XuFMZqCcHy7lJyH7YQ,Toyota,Avalon,2006,Gold,Nigerian Used,207155.0,3500.0,Lagos,Registered,Imported,Ikeja,5250000,,Petrol,Automatic
132,jEY4wdZwO5sk4nlhVPmUv5neN2zFRmS,Acura,MDX,2006,Black,Nigerian Used,223527.0,,,Registered,Registered,Port-Harcourt,3675000,SUV,Petrol,Automatic
133,jEY4wdZWUDnJO1bguorHPIEfvzolzbs,Volkswagen,Passat,2012,Black,Nigerian Used,122348.0,1800.0,LAGOS,Registered,Brand new,Lekki,5250000,,Petrol,Automatic
134,jEY4wdZmZZrnkYyeQqZtaPBIaReoFFd,Toyota,Camry,2017,Blue,Nigerian Used,106610.0,2500.0,LAGOS,Registered,Registered,Ibadan,13440000,,Petrol,Automatic
135,jEY4wdZQiQo3FzmyAPHhfyA5qvwp9Ij,Mazda,3,2004,Red,Nigerian Used,362751.0,2300.0,,Registered,Imported,Ogba,2025000,Hatchback,Petrol,Manual
136,jEY4wdZIfoCZ601MKdcvPdn3SxbguFy,Mercedes-Benz,C300,2016,Gray,Nigerian Used,45260.0,2000.0,ABUJA,Registered,Imported,Garki 2,17850000,,Petrol,Automatic
